Date,AAPL,AMD,AMZN,BND,CRWD,DFAC,DFAS,DFUS,ESS,GS,JPM,LOW,MSFT,VEA,VGK,VOO,VWOB,SP50
2021-07-12,,,,,,,,,,,,,,,,,,
2021-07-19,-4.211548845413141,-2.6188868743091107,-3.7623767185082673,-6.018758378303681,-2.57686275584869,-4.01111718634088,-3.9949306544695222,-3.8022460737069497,-4.518665167118124,-3.6747216837984555,,-3.731269384441551,-3.4491727639482384,-4.51301451186842,-4.222800213209879,-3.932680217924753,-6.152051154524169,-3.934379323793733
2021-07-26,,-1.8815072368683115,,-5.930116173682985,,-5.502358979205274,-4.083908881155183,,,-6.1107245203486205,-4.883869791126967,,,-5.841249393812531,-4.617626473173814,,-7.377953432957349,
2021-08-02,-6.255604020598161,-3.2991387787102036,-5.256419541853104,,-3.5714878771999863,-4.813289435032544,-4.5374453512957835,-4.711127725041003,,-2.7906758572799517,-3.278461015719305,,-4.137044875714554,-4.58187045439225,-4.528084795600553,-4.688286091028267,,-4.668382251743894
2021-08-09,-3.8266159418790866,-5.5224548751032545,,-5.82140904081775,,-4.867905700636669,-7.571650415417989,-5.010081009369784,,-3.429726373947645,-4.151178328941508,-6.297640666771858,-4.447176369694619,-4.592069049851129,-4.115510519244297,-4.877057884503348,-4.911558837345107,-4.948273765610355
2021-08-16,,,,-6.424547654868747,,,,,-4.8265920308530355,,,-2.376140041054433,-3.2364495200888097,,,,,
2021-08-23,-5.8900988362811875,-2.741078958588352,-3.062389592061229,,-1.6778516132654553,-3.764512653498157,-3.1770890504029814,-3.9655600303696508,-5.527721057075263,-2.810557879872745,-2.9217516024974755,,,-3.9010019051224196,-4.127290552772317,-4.177730282607802,-4.8715609764747,-4.183696628361068
2021-08-30,-3.260790868396078,,-3.2613006254047736,,,-6.831977051090098,,-5.2872413234981135,-3.0747147515492332,,,-7.853083033585762,-5.352171184247505,-4.001067041613158,-5.13923453240685,-5.0285685909817674,-6.687572727237036,-5.153508939036784
2021-09-06,,,,-6.537662010027741,,,,,,,,,,,,,,
2021-09-13,,,,,-5.482170167259041,,,,-6.302000237618949,,-6.198013545176027,-3.772172106239721,-4.263861603408304,,,,,
2021-09-20,-5.13485375825336,-3.9909081543507936,,,,-5.133957771718211,-4.4242439218045,-6.186461102821966,-4.168757325467945,,-3.3816086214898546,,,,,-5.141910151278794,,-5.283770155636811
2021-09-27,,,,,,,-5.067444177247047,,,,-3.6854401933435685,,,,,,,
2021-10-04,-6.346708848183415,-3.6700243897113833,-6.41760805974153,,,-4.601082360567645,-5.496138138852004,-4.780802657660511,-4.820543104068061,-3.3899450740489927,-3.990606494458841,-4.416478954913343,-3.917571223092957,,-6.71567146466923,-4.443823793159903,,-4.84440855575584
2021-10-11,-4.299449050932824,-2.7000858059401915,-3.307403058806559,-5.49164474399241,-2.1651333467376817,-4.169243552999339,-4.766257915911787,-3.9671743331172165,-3.920039625401353,-3.3885751075930655,,-2.763705040002481,-3.4500205091606646,-3.622267352694255,-3.4492273030917504,-3.9907966877294974,-4.749052827545963,-4.004984682031166
2021-10-18,-3.627553138048806,-2.6783498182660166,,,-3.279671480884041,-4.072117226142007,-4.1434786768087415,-4.127341408293786,-4.988636057814953,-3.896315118565704,-3.4727854166585885,-3.1269973001586093,-4.11832360837523,-5.057386200266016,-4.622928688678358,-4.119870204118661,,-4.107759590201775
2021-10-25,-4.897518634148227,-5.6775798014584336,-4.504718344363966,-5.286002153135024,,-5.636570462198269,-6.5052370536432,-4.505443199438462,-4.295695151499344,,,-3.658331400516842,-2.6221242889583323,,-7.451032416234906,-4.3147085724286525,-5.914648126612277,-4.319448573748418
2021-11-01,-4.6172566638199735,-2.0099668414137444,-3.135955647315937,-5.223640686648802,,-3.573266193041179,-2.8262705861699122,-3.778842713517145,,,,-4.912242328356575,-4.313340933409773,-4.176695298244068,-4.213004170855427,-3.8994565583728353,-4.787497685935587,-3.9115638144780536
2021-11-08,,-2.468466037885292,-6.347807299743348,,-3.2250393688856502,-6.3610116430166235,,,-3.584946489919241,,,-5.710337094839361,-6.232748416215916,,,,,
