,Tickers,Beta,Alpha,StderrA,StderrB,AnnLogReturns,CAPM,ADJ CAPM,+SharpeWeight,-VolWeight,bruteAllocation
0,AAPL,1.2132980501454167,0.0007002512100039,0.0003521684924504,0.0267672864504269,0.2700416579708431,0.0872654831202082,0.0873146407551505,0.1,0.018,0.13797596411221977
1,AMD,1.5539436645537217,0.0008695180383457,0.0008047736803881,0.0611684693335992,0.2346621676617666,0.1111788052516712,0.1112398454179631,0.09999999999997525,0.018,0.14491518202471668
2,AMZN,1.0475055333093275,0.00028800095974,0.0004566759613793,0.0347105903433057,0.1213026201338811,0.0756268484383148,0.0756470661056885,0.1,0.018,0.06730814194966796
3,BND,0.0272875502321908,3.687799310788989e-05,9.798358996387331e-05,0.0074474431308572,0.0103773548784273,0.0040075460262998,0.0040101348614159,0.1,0.1,0.011001656223480996
4,CRWD,1.11147114724348,0.0010171733445577,0.0013257356787931,0.0876511329128039,0.10568336633261,0.0801172345364923,0.0801886401052802,0.018,0.018000000000007527,0.0003172282051800385
5,DFAC,0.9878663024566448,-1.7418359726930804e-05,0.0001539423325352,0.012553091648058,-0.0192166967442144,0.0714401744324564,0.0714389516636036,0.018,0.1,0.05958195634435494
6,DFAS,1.0265408691512492,-0.0001577202213508,0.00042009970952,0.0342566600627566,-0.0288768852061719,0.0741551290144177,0.0741440570548788,0.018,0.1,0.0027948012366855795
7,DFUS,1.0123710045796286,5.049706503797819e-07,5.207181804646538e-05,0.0042461504477248,-0.018622158125377,0.0731604045214899,0.0731604399704296,0.018,0.1,0.0018683198539881439
8,ESS,0.8356033730269783,-0.0001616462728889,0.0004113052689019,0.0312620980788546,-0.0044170372910022,0.0607513167864938,0.060739969218137,0.018,0.09999999999999132,0.019570572642517388
9,GS,1.1893940314291072,-5.797466622615999e-05,0.0003747441207556,0.0284831932467436,0.0456611013295049,0.0855874210063233,0.0855833511847542,0.018,0.018,0.03692525549364908
10,JPM,1.1287439268453705,-0.0001291928698636,0.0003659751720071,0.0278166913646832,0.0254257775467308,0.081329783664545,0.0813207143250806,0.018,0.018,0.026297562786537696
11,LOW,1.1061848156292329,0.0004236386145982,0.0004346711490138,0.0330380695797992,0.1647639045479254,0.0797461340571721,0.0797758734879169,0.1,0.018,0.1359103369844728
12,MSFT,1.1946056054439684,0.0006076644008894,0.0002795193621513,0.0212454407351589,0.2488725099204829,0.0859532735021666,0.085995931543109,0.1,0.018,0.11844014018838238
13,VEA,0.8135141506247324,-0.0002047913057759,0.0001525478695071,0.0115947127810558,0.0070398393853057,0.0592006533738562,0.0591862770241907,0.018,0.1,0.008841356112081087
14,VGK,0.8561092829858602,-0.0002317610818195,0.0001895171220693,0.0144046364238682,0.0006295850855857,0.0621908316656074,0.0621745620376636,0.018,0.1,0.011973434652427357
15,VOO,0.9974995456953886,7.085776202924518e-05,1.4700402979399715e-05,0.001117334190655,0.0944514189256036,0.0721164281078163,0.0721214023227107,0.1,0.0379999999999902,0.07253850096804662
16,VWOB,0.2943546135030791,-0.0001432548811105,0.0001478566136275,0.0112381442843469,-0.013574343887945,0.0227556538679161,0.0227455973752622,0.03799999999996792,0.1,0.07887828317762025
17,SP50,0.9999999999999996,3.274973481219947e-20,1.3209820598215187e-19,1.0040394285441714e-17,0.0752691553915889,0.0722919599999999,0.0722919599999999,0.1,0.018,0.06486130704397125
