,Tickers,Beta,Alpha,StderrA,StderrB,AnnLogReturns,CAPM,ADJ CAPM,Sharpe
0,AAPL,1.2144686028971907,0.0006902586510233973,0.00035066620300017436,0.02656693689323667,0.2808587652693004,0.08734765592338281,0.08739611208068465,12.383613147946045
1,MSFT,1.2004629506688382,0.0006372523756403005,0.0002811375677780988,0.021299355220369166,0.2718353696782545,0.08636445913695247,0.0864091942537224,12.937224235238215
2,GOOG,1.1164735759079716,0.00028798768427356806,0.000324739968543249,0.02460273096519618,0.1549718935622768,0.08046840502873963,0.08048862176417564,6.697574051278741
3,GOOGL,1.1244604029997936,0.00026389845350454456,0.0003240577478873697,0.02455104502296125,0.14854193075782218,0.08102908029058553,0.08104760596202155,6.330371528439162
4,AMZN,1.0588101177750258,0.00041069761915158017,0.00046278184383011624,0.035060966626328384,0.16709309996026112,0.07642043026780683,0.07644926124067127,6.374634427916286
5,TSLA,1.4619781042932445,0.0014336193910847066,0.0009904123252786896,0.07503495209645183,0.36207023618088185,0.10472282292138578,0.10482346300263992,8.299362529904041
6,UNH,0.9673544909370604,0.000462310141907181,0.0003836346417756041,0.029064669565851672,0.18821519509429496,0.07000024526378165,0.07003269943574353,8.497471304817282
7,META,1.2255206044047882,-0.0005050217247715247,0.0005569680981458461,0.04219664224379041,-0.08192085955612527,0.08812350642921615,0.08808805390413718,-4.3798284930417735
8,JNJ,0.5857203071589275,6.898065561151943e-05,0.00029636947922992,0.022453345045569693,0.058169561904822364,0.04320952556255672,0.043214368004580644,2.1763225832143176
9,V,1.114265677668761,0.00016297749091227673,0.000296876872681274,0.022491785846784164,0.12213523558446515,0.08031341057234703,0.08032485159220908,5.108543498262316
10,NVDA,1.6978202591238352,0.0005196671152348059,0.000628798744041916,0.047638627300218485,0.19641309970712006,0.12127894219049325,0.12131542282198274,5.274442747500445
11,XOM,0.9285697086869971,-8.926504502950421e-05,0.0004686375711813588,0.03550460430134089,0.02012271288363854,0.06727755354982722,0.06727128714366613,-0.46905762169467863
12,PG,0.5788483817498733,0.0002427459147482227,0.00031482320023405166,0.023851423437977297,0.10303604479783623,0.042727116398841115,0.042744157162056436,5.4184292953141835
13,JPM,1.125287203274123,-0.0002119895687562478,0.0003664864519379838,0.027765499947132885,0.014155903025891314,0.08108712166984346,0.08107224000211677,-0.7932574292051093
14,WMT,0.5069091263827633,0.00022716807996154054,0.00037077680320044497,0.028090542652316447,0.08577378869028807,0.037676980672069996,0.03769292787128329,3.797775326601385
15,MA,1.2350143246643823,0.0003157413361077665,0.0003472842276517117,0.026310713952764006,0.16752414072287625,0.08878996559143966,0.08881213063323441,6.7459084969843355
16,LLY,0.6848099128025303,0.0008392859106700206,0.0004459468065459071,0.03378552186062723,0.27240413280230036,0.05016561587873764,0.05022453374966667,13.331487115777474
17,CVX,1.0741636785965079,-3.5260717801156883e-06,0.0004779087198639158,0.03620699882887163,0.048709259944133665,0.07749825023747486,0.0774980027072359,0.8564954154997475
18,PFE,0.6137055233162262,0.00024832405964121207,0.0003893715444691407,0.029499304927109306,0.09846071112669685,0.04517408773679909,0.0451915200857859,4.293040256730649
19,HD,1.0065613566810505,0.00023292170728158996,0.00032567225094723196,0.02467336191731356,0.1308297014693114,0.07275256723900976,0.07276891834286094,5.74338541247977
20,ABBV,0.7158920063164069,0.00042442514095946933,0.0004386319011757043,0.03323133492248629,0.14875948445421283,0.05234757884341178,0.05237737348830713,6.542365671080974
21,KO,0.6449509674804816,0.00012412014586703492,0.00029189730628927725,0.022114527288759418,0.07818197465374754,0.04736751791712982,0.04737623115136968,3.6130930213757613
22,BAC,1.2364347059463616,-0.00019445739150163177,0.00041201402051397685,0.031214728960116237,0.01879762521716577,0.08888967635743461,0.0888760254485512,-0.5026622842344063
23,MRK,0.5833954555139201,0.000175921914479314,0.00034969092927821747,0.026493048861817664,0.08095529671717006,0.0430463209770772,0.043058670695473644,3.507753781440668
24,PEP,0.6984589520185401,0.00015400969049066975,0.0002882000289408997,0.021834416650349558,0.09104686886658442,0.05112377843170153,0.05113458991197397,4.453498173779395
25,VZ,0.4457307864864025,-8.040015228890736e-05,0.000302609972186093,0.022926133073417513,0.007111705520876477,0.033382261211345465,0.03337661712065478,-1.8556868933079418
26,TMO,0.83262653137527,0.0006274713629247956,0.00037902386027100063,0.0287153506402943,0.2290220083723531,0.060542342502543964,0.06058639099222128,11.484379361051623
27,COST,0.7094025113860452,0.0007541086249020139,0.0003277031107908446,0.02482722255413187,0.2650707159135368,0.05189201629930038,0.051944954724768504,15.778166380946306
28,AVGO,1.2804055811129098,0.000249928977073229,0.0004488584242937143,0.03400610988508302,0.13472567340432207,0.09197643179412629,0.09199397680831682,4.523015175811153
29,ABT,0.8608066046161835,0.0003487577812898463,0.0003359421300944045,0.025451421590215552,0.15350980221164234,0.0625205836440561,0.06254506644030264,7.520634237103529
30,ACN,1.0714999482116345,0.0003112642078360865,0.0002690473801659583,0.02038338656250861,0.16504044660380202,0.07731125636445677,0.07733310711184685,7.932545130263223
31,ORCL,0.9257045574731378,3.186072646626515e-05,0.00038437761202055894,0.02912095797757311,0.06401186014226856,0.06707641993461429,0.06707865655761222,1.8704777270369994
32,DHR,0.8245079788992586,0.0006871850331748926,0.0003382709554530493,0.025627856489869844,0.25281799343335787,0.05997242011872797,0.06002066050805685,13.780602756232781
33,MCD,0.7558345419625675,0.00020214649524034903,0.00031358589337869943,0.023757683428639424,0.10623113069424006,0.055151544845772255,0.05516573552973812,5.120223960425246
34,CSCO,1.0108535713040752,-1.601121953466833e-05,0.00034802156793688427,0.026366575831261067,0.06044691741964403,0.0730538807055461,0.07305275671793476,1.6874927057319202
35,CMCSA,0.8436997997960041,-0.000279673757821069,0.00038968862289355527,0.029523327209324015,-0.02253648108141404,0.0613196859456795,0.061300052847880454,-2.9514344224821696
36,DIS,0.9906736653151672,-0.00037472785391984786,0.0004041515538460399,0.030619058051414055,-0.03815685280461911,0.07163725130512474,0.07161094540977958,-3.505652872533288
37,ADBE,1.2619689567832997,0.0003186789265636933,0.00043449992509757605,0.03291829093144064,0.15706786010235718,0.09068218076618766,0.09070455202683243,5.613099883585754
38,CRM,1.226807871467967,8.586818648605538e-05,0.00047636430182060807,0.036089991668380283,0.08317474027008775,0.08821387257705131,0.08821990052374262,2.28276814181828
39,TMUS,0.8265458323387938,0.00029902211979036987,0.0004081993129180208,0.030925721650313234,0.12708367297181722,0.060115477430183334,0.060136468782992614,5.371681127277906
40,BMY,0.585581988967903,8.165573947062056e-05,0.00036937344017244015,0.02798422200697245,0.05318186330624397,0.043199815625546804,0.04320554785845764,1.5388068043958545
41,NKE,1.0266812974427317,0.00013370413234377288,0.0003990164937107917,0.030230019081051558,0.09619361861330744,0.07416498708047978,0.07417437311057032,3.391475885037757
42,UPS,0.8390734163684459,0.00021008020877032248,0.00041019059815100296,0.031076584062112424,0.10305836286983538,0.06099491382906492,0.06100966145972059,4.010526098635598
43,PM,0.688181867847555,-0.00019250384053319208,0.00041807724403293496,0.03167408682015406,-0.015844232981648165,0.05040232712289837,0.050388813353292934,-2.627610575438052
44,INTC,1.19963668165596,-0.0004146169388007132,0.0004810038366005348,0.03644148898023337,-0.04813268984954322,0.08630645505224842,0.0862773489431446,-3.351217612925792
45,WFC,1.2099243433705806,-0.000556266585121435,0.00047801263920764985,0.036214871896259784,-0.08008248526824113,0.08702864890461479,0.08698959899033924,-4.721983796890729
46,T,0.690502187342147,-0.00032296780537467294,0.00037004628957781237,0.02803519797083278,-0.04123788532893857,0.05056521355141873,0.05054254121148142,-4.450225407056184
47,NEE,0.7113079926439514,0.0004955178012752814,0.0003808905874488688,0.02885677636854245,0.17849179546277938,0.0520257810836054,0.05206056643325492,9.04734724399307
48,QCOM,1.2529557950122214,0.0004314519944583923,0.000540594682123576,0.04095617051749136,0.1714320468475672,0.09004945680985796,0.09007974473986895,5.598734123817153
49,LIN,0.9550704389518291,0.00034887520363003797,0.0003129225704039975,0.02370742919980879,0.16328797449225285,0.06913790481441842,0.06916239585371324,7.954269110973276
50,TXN,1.1587239478248006,0.00028024796616787993,0.00035424284915200034,0.02683790835211134,0.1516065519411116,0.08343438113730102,0.08345405454452601,6.15883305800083
51,RTX,1.0721337135101014,-0.00018518874644334724,0.0004211125423233345,0.03190404504664774,0.010944048926728511,0.07735574668840914,0.07734274643840881,-0.9172561288575646
52,MS,1.3110831458637828,2.2759298062187386e-05,0.00037915658366427155,0.02872540594069998,0.08443077307446956,0.09412999683963758,0.09413159454236154,2.4946497872218694
53,UNP,0.9599781517671324,0.0003241721890482721,0.00035228031646539155,0.026689224271381658,0.1513510766350432,0.06948242625405271,0.0695051831417239,6.836482250048597
54,AMGN,0.720354446288639,9.972194758043765e-05,0.0003596820115645547,0.027249986514563524,0.07035940018064268,0.05266084212946247,0.05266784261018261,2.5517114184315117
55,IBM,0.8574323796040775,-0.0002057590801475361,0.0003664745778087379,0.02776460034734357,-0.0006678468119792891,0.062283713048206256,0.062269268760779886,-1.7694623039637067
56,AMD,1.5517062470756255,0.0010061980535596825,0.0008053431872936827,0.06101386860546327,0.295226539500109,0.11102173854470894,0.11109237364806882,7.55926086552724
57,CVS,0.7613296712206888,1.479505548536169e-05,0.0004329335467623091,0.03279962003008791,0.04083573239599092,0.05553730291969237,0.05553834153258744,0.6019854805867229
58,MDT,0.8493574209761274,-0.00017772904208802976,0.0003296929391467876,0.024977974590993216,0.010125087858601445,0.06171685095252416,0.06170437437376957,-1.21562499898693
59,SCHW,1.1462909956379335,-4.514907589990823e-05,0.00047925573685735616,0.03630905062386263,0.04320086185401384,0.08256158789378294,0.08255841842865477,0.5894213879514958
60,COP,1.2261262866693052,0.00015896895818687408,0.0006316177184036505,0.04785219653880237,0.07155020414316038,0.08816602532418524,0.08817718494504996,1.5122001146662596
61,HON,0.9858127094762089,-3.8767476410711625e-05,0.0002965416529983835,0.022466389158752844,0.05870893772948271,0.07129601220522988,0.07129329072838585,1.729211301202925
62,ANTM,0.9984962021195112,0.0003719219111034702,0.0004694039592296994,0.03554853727605745,0.15024726962820112,0.0721863933887897,0.07221250230694916,5.6784026289892005
63,AMT,0.7786225820885054,0.0002944945330546044,0.00039338668884690336,0.029803497593492965,0.12400257828337091,0.05675126526261309,0.05677193877883352,5.441497393125229
64,SPGI,1.0479207186422586,0.00033239530688658296,0.0003355478889099439,0.025421553354900407,0.16181758465075324,0.07565599444868656,0.07567932859923,7.240901636906031
65,LOW,1.1054301784130518,0.0003443435830266244,0.00043606191371504624,0.03303662926194769,0.15277481144133453,0.07969315852459626,0.07971733144412473,5.788826948716061
66,LMT,0.7041916283457496,0.0001125461785763218,0.000387578357981479,0.02936345073914387,0.06852944032626351,0.05152621230987163,0.05153411305160768,2.3363238641847257
67,INTU,1.3060879864370514,0.0004607634587319949,0.00038102001551964767,0.02886658201094305,0.2103104917093117,0.09377933664788103,0.093811682242684,8.24708160982217
68,AXP,1.2923441392235977,3.6886446066720147e-06,0.0004278456878465995,0.03241415708675636,0.07213969196736358,0.09281451857349658,0.09281477751634797,1.8560302342956954
69,GS,1.187626691637612,-0.00012348960517556868,0.00037412855661381265,0.02834447593888009,0.03946600651240173,0.08546335375296038,0.08545468478267705,0.471020152223618
70,CAT,1.0284278588597213,5.792528134643645e-05,0.0004356749584962546,0.033007313021060504,0.06980223915744443,0.07428759569195245,0.07429166204670297,1.9466720744493935
71,NOW,1.2951395262968481,0.0006321236473365262,0.0005681742846784024,0.043045637806742094,0.22785855272742883,0.09301075474603876,0.09305512982608179,7.501867268772288
72,BLK,1.2045092198121408,-7.706330469415874e-06,0.0003112368027034656,0.023579713201707125,0.07837137663718874,0.0866485072308123,0.08664796624641334,2.5113228601282755
73,C,1.3414935059769078,-0.0006673254202380739,0.0004607025888737709,0.03490343951154638,-0.09786571452550075,0.09626480411957894,0.09621795787507824,-5.3030865131746765
74,EL,1.0384046149233335,0.00041950723955805846,0.0004101353820476627,0.031072400816848467,0.17669810906817096,0.07498796396761803,0.07501741337583501,7.356439062732915
75,DE,1.0743927559966768,0.00039413126129044684,0.00045401308279135425,0.03439663365338846,0.1642541790090346,0.07751433147096673,0.07754199948550933,6.271970660274477
76,ADP,1.0512354304366642,0.00027252809860721903,0.0003021968128165226,0.02289483157129294,0.14844961024020686,0.07588868721665384,0.07590781868917607,6.77239913092166
77,SBUX,1.0355460356005948,1.1423414075096174e-05,0.000363358524414144,0.027528524006989515,0.06777252054016758,0.07478729169916178,0.07478809362282984,2.02303743406377
